IEC(Hex);RB-Description;IEC(Hex)
13844615;DTC_MCU_F_Timeout                ;0xD34087
13844871;DTC_MCU_R_Timeout                ;0xD34187
13845127;DTC_PLG_Timeout                  ;0xD34287
13845383;DTC_CIM_Timeout                  ;0xD34387
13845639;DTC_VCU_Timeout                  ;0xD34487
13845895;DTC_ICC_Timeout                  ;0xD34587
13846151;DTC_PEPS_Timeout                 ;0xD34687
13846407;DTC_TPMS_Timeout                 ;0xD34787
13846663;DTC_AVAP_Timeout                 ;0xD34887
13846920;DTC_BusDiagBusOffNode2           ;0xD34988
13847170;DTC_ADAS_VideoFC_Com_Error       ;0xD34A82
13847175;DTC_VFC_TIMEOUT_Priv_CAN         ;0xD34A87
13847176;DTC_BusDiagBusOffNode3           ;0xD34A88
13847426;DTC_ADAS_RadarFC_Com_Error       ;0xD34B82
13847431;DTC_RFC_TIMEOUT_Priv_CAN         ;0xD34B87
13847682;DTC_ADAS_RadarFL_Com_Error       ;0xD34C82
13847687;DTC_RFL_TIMEOUT_Priv_CAN         ;0xD34C87
13847688;DTC_BusDiagBusOffNode4           ;0xD34C88
13847938;DTC_ADAS_RadarFR_Com_Error       ;0xD34D82
13847943;DTC_RFR_TIMEOUT_Priv_CAN         ;0xD34D87
13848199;DTC_RRL_TIMEOUT_Priv_CAN         ;0xD34E87
13848200;DTC_BusDiagBusOffNode5           ;0xD34E88
13848450;DTC_ADAS_RadarRL_Com_Error       ;0xD34F82
13848706;DTC_ADAS_RadarRR_Com_Error       ;0xD35082
13848711;DTC_RRR_TIMEOUT_Priv_CAN         ;0xD35087
15867932;DTC_Input_Supply_Voltage_Error   ;0xF2201C
15868295;DTC_MPC_Timeout                  ;0xF22187
15868551;DTC_CMRR_RL_Timeout              ;0xF22287
15868807;DTC_CMRR_FL_Timeout              ;0xF22387
15869063;DTC_CMRR_RR_Timeout              ;0xF22487
15869319;DTC_CMRR_FR_Timeout              ;0xF22587
15869575;DTC_MRR_Timeout                  ;0xF22687
15869831;DTC_ESP_Timeout                  ;0xF22787
15870087;DEM_SDM_Timeout                  ;0xF22887
15870343;DTC_EPS_Timeout                  ;0xF22987
15870599;DTC_iBooster_Timeout             ;0xF22A87
15870855;DTC_YRS_Timeout                  ;0xF22B87
15871111;DTC_BCM_Timeout                  ;0xF22C87
15871367;DTC_ECC_Timeout                  ;0xF22D87
15871879;DTC_TBOX_Timeout                 ;0xF22F87
5415172;DemDTC_InternalSystemFailure     ;0x52A104
5415497;DemDTC_InternalElectronicFailure ;0x52A249
5416456;DTC_General_E2E_Error            ;0x52A608
5417350;DTC_MPC_Invalid_Error            ;0x52A986
5417606;DTC_CMRR_RL_Invalid_Error        ;0x52AA86
5417862;DTC_CMRR_FR_Invalid_Error        ;0x52AB86
5418118;DTC_CMRR_FL_Invalid_Error        ;0x52AC86
5418374;DTC_CMRR_RR_Invalid_Error        ;0x52AD86
5418630;DTC_MRR_Invalid_Error            ;0x52AE86
5418886;DTC_ESP_Invalid_Error            ;0x52AF86
5419142;DTC_SDM_Invalid_Error            ;0x52B086
5419398;DTC_EPS_Invalid_Error            ;0x52B186
5419910;DTC_YRS_Invalid_Error            ;0x52B386
5420166;DTC_BCM_Invalid_Error            ;0x52B486
5420422;DTC_ECC_Invalid_Error            ;0x52B586
5421446;DTC_PLG_Invalid_Error            ;0x52B986
5421702;DTC_CIM_Invalid_Error            ;0x52BA86
5421958;DTC_VCU_Invalid_Error            ;0x52BB86
5422214;DTC_ICC_Invalid_Error            ;0x52BC86
5422470;DTC_PEPS_Invalid_Error           ;0x52BD86
5422726;DTC_TPMS_Invalid_Error           ;0x52BE86
5423239;DTC_VMC_Invalid_Error            ;0x52C087
5423992;DTC_ADAS_VehicleConfig_Error     ;0x52C378
5424203;DTC_ECU_Temperature_Error        ;0x52C44B
5424385;DTC_POWER_MODE_Error             ;0x52C501
5425030;DTC_PER_Invalid_Error            ;0x52C786
