IEC(Hex);RB-Description;IEC(Hex)
9437268;DemDTC_APPL_CAL_NOT_DOWNLOADED;0x900054
9440284;DemDTC_BATTERY_VOLTAGE_OUT_OF_RANGE;0x900C1C
9572728;DemDTC_ALIGNMENT_NEVER_DONE;0x921178
9612288;DemDTC_STEER_SENSOR_FAULTY;0x92AC00
11465080;DemDTC_ALIGNMENT_OUT_OF_PSA_RANGE;0xAEF178
11467128;DemDTC_ALIGNMENT_NOT_SUCCESSFUL;0xAEF978
11460472;DemDTC_SENSOR_MISALIGNED;0xAEDF78
12760199;DemDTC_LOSS_OF_SYNCHRONISATION;0xC2B487
13763969;DemDTC_STEER_ANG;0xD20581
13767553;DemDTC_ACCEL_YAW_STEER;0xD21381
13771137;DemDTC_STEER_WHL_VITESSE_ROT;0xD22181
14026631;DemDTC_FDP1_DAT_DYN_TIMEOUT;0xD60787
14026887;DemDTC_FDP1_VSM_200_TIMEOUT;0xD60887
14156417;DemDTC_WHLVEL_INVALID;0xD80281
14614528;DemDTC_FAULT_DEHFRAMELOST;0xDF0000
14675987;DemDTC_FDP1_CRADAR_HDR_SUPERVISION_ECU_MUTE;0xDFF013
14676616;DemDTC_EBUSOFF_PERCEPTION1;0xDFF288
9437189;DemDTC_TB_CUSTOMER_DATA;0x900005
9590278;DemDTC_FAULT_DACORE_OOS;0x925606
11468631;DemDTC_TB_RADAR_ANTENNA_DATA;0xAEFF57
9573459;DemDTC_FUNCTION_INHIBITION;0x921453
9437265;DemDTC_CALIBRATION;0x900051
9438037;DemDTC_VARIANT_CODING_NOT_DONE;0x900355
9440284;DemDTC_BATTERY_VOLTAGE_OUT_OF_RANGE;0x900C1C
9572728;DemDTC_ALIGNMENT_NEVER_DONE;0x921178
9573986;DemDTC_AEB_FUNCTIONAL_CHECK_2;0X921662
9590278;DemDTC_DACORE_OUT_OF_SPEC_TRAP;0X925606
9607266;DemDTC_FCW_FUNCTIONAL_CHECK_1;0X929862
9607522;DemDTC_AEB_FUNCTIONAL_CHECK_1;0X929962
9608034;DemDTC_ACC_TIV_SPEED_INCONSISTENCY;0X929B62
9611264;DemDTC_XAEB_STATE_DECEL;0X92A800
9612288;DemDTC_STEER_SENSOR_FAULTY;0X92AC00
11460472;DemDTC_ALIGNMENT_OUT_OF_RANGE_BOSCH;0XAEDF78
11465080;DemDTC_ALIGNMENT_OUT_OF_RANGE_PSA;0XAEF178
11465289;DemDTC_VIDEO_EE_STATUS_INVALID;0XAEF249
11465875;DemDTC_SENSORS_UNAVAILABLE;0XAEF493
11466131;DemDTC_VIDEO_STATUS;0XAEF593
11466387;DemDTC_CORNER_FKT_LEFT;0XAEF693
11467362;DemDTC_RB_VELOCITY_TIRE_SIZE_ALIGNMENT_UNSTEADY;0XAEFA62
11466643;DemDTC_CORNER_FKT_RIGHT;0XAEF793
11467128;DemDTC_ALIGNMENT_NOT_SUCCESSFUL;0XAEF978
12613768;DemDTC_EBUSOFF_CANFD3;0XC07888
12729735;DemDTC_FRONT_LEFT_OBJECT_TIMEOUT;0XC23D87
12729991;DemDTC_FRONT_RIGHT_OBJECT_TIMEOUT;0XC23E87
12760711;DemDTC_REAR_RIGHT_OBJECT_TIMEOUT;0XC2B687
12760967;DemDTC_REAR_LEFT_OBJECT_TIMEOUT;0XC2B787
12788355;DemDTC_FD3_DAT_ESC_0DE_CRC;0XC32283
